,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
1751,1.0,data1,Mental health,E07000105,Ashford,102.4934,103.4246,108.0706,105.1446,100.5684,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-1.9249999999999972,-4.5762
1765,1.0,data1,Mental health,E07000106,Canterbury,94.11037,96.11711,99.79011,96.30886,90.64688,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-3.4634900000000073,-5.66198
1779,1.0,data1,Mental health,E07000107,Dartford,97.85222,101.7154,103.19,100.9806,101.6206,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,3.7683799999999934,0.6400000000000006
1793,1.0,data1,Mental health,E07000108,Dover,100.9631,98.86236,103.5707,100.9332,91.10815,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-9.854950000000002,-9.825050000000005
1807,1.0,data1,Mental health,E07000109,Gravesham,98.21023,101.2122,103.8863,102.011,98.62316,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.4129300000000029,-3.387839999999997
1821,1.0,data1,Mental health,E07000110,Maidstone,97.65857,100.3877,101.7652,100.4604,95.48331,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-2.1752599999999944,-4.977090000000004
1835,1.0,data1,Mental health,E07000111,Sevenoaks,107.3333,108.0872,110.1439,108.0786,106.782,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.5512999999999977,-1.296599999999998
1849,1.0,data1,Mental health,E07000112,Folkestone and Hythe,92.92264,97.80402,98.83421,99.00832,92.43122,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.4914200000000051,-6.5771000000000015
1863,1.0,data1,Mental health,E07000113,Swale,93.04761,99.05796,98.77496,100.0846,99.51068,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,6.463069999999988,-0.5739200000000011
1877,1.0,data1,Mental health,E07000114,Thanet,92.75859,92.8595,94.27246,93.41906,87.03428,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-5.724310000000003,-6.384780000000006
