,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
3805,11.0,data11,Crime,E08000034,Kirklees,98.02612,95.54708,94.57297,92.82272,93.44657,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-4.579550000000012,0.6238499999999902
3819,11.0,data11,Crime,E08000035,Leeds,89.95918,86.63504,85.01135,84.08361,85.27677,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-4.682410000000004,1.193160000000006
3833,11.0,data11,Crime,E08000036,Wakefield,93.33966,89.59818,88.46694,86.33894,86.91835,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-6.421309999999991,0.57941000000001
3847,11.0,data11,Crime,E08000037,Gateshead,98.27823,89.97458,89.35234,90.23332,90.25702,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-8.021209999999996,0.02369999999999095
3861,11.0,data11,Crime,E09000002,Barking and Dagenham,97.73283,97.81803,97.00976,98.94123,97.67807,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-0.054760000000001696,-1.2631599999999992
3875,11.0,data11,Crime,E09000003,Barnet,104.0327,101.3186,101.7295,100.9639,99.15453,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-4.878170000000011,-1.8093700000000013
3889,11.0,data11,Crime,E09000004,Bexley,108.9012,106.7308,103.557,103.1838,102.4923,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-6.408900000000003,-0.6915000000000049
3903,11.0,data11,Crime,E09000005,Brent,98.28866,97.02779,96.87316,97.08711,98.71903,,,,,,,,,,,,,,,,,,,,,,E12000007,London,0.4303700000000106,1.631920000000008
3917,11.0,data11,Crime,E09000006,Bromley,100.2994,100.3381,99.43658,97.28066,96.67092,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-3.6284800000000104,-0.6097400000000022
3931,11.0,data11,Crime,E09000007,Camden,85.04167,84.19331,81.34981,81.87291,82.70178,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-2.339889999999997,0.8288699999999949
3945,11.0,data11,Crime,E09000008,Croydon,99.46255,98.62842,99.79567,100.6072,98.45495,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-1.0075999999999965,-2.1522500000000093
3959,11.0,data11,Crime,E09000009,Ealing,104.6058,95.29889,96.80889,97.78888,97.04893,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-7.5568700000000035,-0.7399500000000074
3973,11.0,data11,Crime,E09000010,Enfield,101.9388,102.088,98.76747,99.67057,99.55829,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-2.380510000000001,-0.11227999999999838
3987,11.0,data11,Crime,E09000011,Greenwich,91.86115,95.123,94.64186,94.02852,92.02535,,,,,,,,,,,,,,,,,,,,,,E12000007,London,0.16420000000000812,-2.0031699999999972
4001,11.0,data11,Crime,E09000012,Hackney,88.2074,81.4899,81.54305,80.27638,79.48345,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-8.723950000000002,-0.7929299999999984
4015,11.0,data11,Crime,E09000013,Hammersmith and Fulham,83.30062,84.0141,83.17537,82.60356,82.88268,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-0.41794000000000153,0.2791199999999918
4029,11.0,data11,Crime,E09000014,Haringey,109.471,90.66495,91.41505,91.66134,89.65481,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-19.816190000000006,-2.006529999999998
4043,11.0,data11,Crime,E09000015,Harrow,100.8313,106.6216,107.6593,104.7272,103.5483,,,,,,,,,,,,,,,,,,,,,,E12000007,London,2.7169999999999987,-1.1788999999999987
4057,11.0,data11,Crime,E09000016,Havering,93.40851,100.0233,99.09956,99.90478,98.25271,,,,,,,,,,,,,,,,,,,,,,E12000007,London,4.8441999999999865,-1.652070000000009
4071,11.0,data11,Crime,E09000017,Hillingdon,96.0334,96.18986,95.41588,96.80908,94.46798,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-1.5654200000000031,-2.3410999999999973
4085,11.0,data11,Crime,E09000018,Hounslow,89.53232,92.66448,91.45714,93.3321,93.49412,,,,,,,,,,,,,,,,,,,,,,E12000007,London,3.9617999999999967,0.16201999999999828
4099,11.0,data11,Crime,E09000019,Islington,91.52918,85.35711,83.77883,85.6573,85.53394,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-5.9952399999999955,-0.12336000000000524
4113,11.0,data11,Crime,E09000020,Kensington and Chelsea,99.05023,82.08216,79.66365,80.30689,77.29182,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-21.758409999999998,-3.0150699999999944
4127,11.0,data11,Crime,E09000021,Kingston upon Thames,76.66331,99.34531,96.53436,94.04973,96.26704,,,,,,,,,,,,,,,,,,,,,,E12000007,London,19.60373,2.2173099999999977
4141,11.0,data11,Crime,E09000022,Lambeth,100.658,90.18586,91.07358,91.61192,91.6199,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-9.0381,0.007980000000003429
4155,11.0,data11,Crime,E09000023,Lewisham,109.9947,97.66143,99.01589,97.57195,96.19143,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-13.803269999999998,-1.3805200000000042
4169,11.0,data11,Crime,E09000024,Merton,83.74761,99.80308,97.79189,99.62025,101.0916,,,,,,,,,,,,,,,,,,,,,,E12000007,London,17.343990000000005,1.471350000000001
4183,11.0,data11,Crime,E09000025,Newham,107.7005,92.72691,91.64298,90.84674,91.62531,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-16.075190000000006,0.778570000000002
4197,11.0,data11,Crime,E09000026,Redbridge,112.5782,102.7548,100.4305,101.0814,99.19862,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-13.37957999999999,-1.8827799999999968
4211,11.0,data11,Crime,E09000027,Richmond upon Thames,79.52564,99.29637,96.70731,97.72731,100.3722,,,,,,,,,,,,,,,,,,,,,,E12000007,London,20.84656000000001,2.6448900000000037
4225,11.0,data11,Crime,E09000028,Southwark,116.7804,89.11245,89.07919,87.97064,88.58591,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-28.194490000000002,0.6152699999999953
4239,11.0,data11,Crime,E09000029,Sutton,82.94923,105.77,104.1866,103.929,100.1308,,,,,,,,,,,,,,,,,,,,,,E12000007,London,17.181569999999994,-3.7982000000000085
4253,11.0,data11,Crime,E09000030,Tower Hamlets,101.3427,89.42033,89.73967,90.35795,91.29458,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-10.048119999999997,0.9366299999999939
4267,11.0,data11,Crime,E09000031,Waltham Forest,92.32937,98.43949,98.49334,98.98229,97.16242,,,,,,,,,,,,,,,,,,,,,,E12000007,London,4.83305,-1.8198700000000088
4281,11.0,data11,Crime,E09000032,Wandsworth,77.01812,94.92289,94.20449,95.55743,96.24042,,,,,,,,,,,,,,,,,,,,,,E12000007,London,19.222300000000004,0.6829900000000038
4295,11.0,data11,Crime,E09000033,Westminster,87.45051,72.1518,69.60827,67.86255,67.34771,,,,,,,,,,,,,,,,,,,,,,E12000007,London,-20.102799999999988,-0.5148399999999924
