,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
875,7.0,data7,Children and young people,E07000012,South Cambridgeshire,111.9378,124.2964,121.6852,119.6734,120.7943,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,8.856500000000011,1.120900000000006
889,7.0,data7,Children and young people,E07000026,Allerdale,94.8533,95.42637,103.8527,103.9391,103.1182,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,8.264899999999997,-0.8208999999999946
903,7.0,data7,Children and young people,E07000027,Barrow-in-Furness,95.46016,96.79702,99.19386,103.3219,98.63338,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,3.1732200000000006,-4.688519999999997
917,7.0,data7,Children and young people,E07000028,Carlisle,95.01036,96.22625,100.8685,101.3697,102.9889,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,7.978539999999995,1.6192000000000064
931,7.0,data7,Children and young people,E07000029,Copeland,96.7496,101.609,102.6391,105.6154,103.2668,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,6.5172000000000025,-2.3485999999999905
945,7.0,data7,Children and young people,E07000030,Eden,110.3069,110.6534,114.2582,111.4426,112.3555,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,2.0486000000000075,0.9129000000000076
959,7.0,data7,Children and young people,E07000031,South Lakeland,108.6299,115.0451,116.2941,115.9464,118.004,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,9.374099999999999,2.057600000000008
973,7.0,data7,Children and young people,E07000032,Amber Valley,103.5721,104.7493,104.9894,108.5506,107.8246,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,4.252499999999998,-0.7259999999999991
987,7.0,data7,Children and young people,E07000033,Bolsover,94.59446,98.26632,97.91584,97.81807,105.4475,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,10.853040000000007,7.629429999999999
1001,7.0,data7,Children and young people,E07000034,Chesterfield,101.605,104.8233,103.882,103.3212,103.2918,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.686799999999991,-0.02940000000000964
1015,7.0,data7,Children and young people,E07000035,the Derbyshire Dales,118.0908,116.5137,119.1093,113.8677,117.406,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.6847999999999956,3.5383000000000067
1029,7.0,data7,Children and young people,E07000036,Erewash,99.84878,103.406,104.9644,101.9874,100.3664,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.5176199999999938,-1.6209999999999951
1043,7.0,data7,Children and young people,E07000037,High Peak,102.2874,105.8117,109.6164,111.2668,107.5335,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.246099999999998,-3.7333
1057,7.0,data7,Children and young people,E07000038,North East Derbyshire,109.1999,115.008,108.0351,108.0933,105.7536,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-3.4462999999999937,-2.3396999999999935
1071,7.0,data7,Children and young people,E07000039,South Derbyshire,104.9736,106.4446,108.6328,109.3877,113.4927,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,8.519099999999995,4.105000000000004
1085,7.0,data7,Children and young people,E07000040,East Devon,111.6167,110.3532,107.7818,112.3057,111.7223,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.10560000000000969,-0.5833999999999975
1099,7.0,data7,Children and young people,E07000041,Exeter,103.3864,106.0802,105.1254,105.7873,107.3701,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.983699999999999,1.5827999999999918
