,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
943,5.0,data5,Behavioural risk factors,E07000030,Eden,109.2289,107.8979,113.3317,111.1657,112.7342,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,3.5053000000000054,1.5685000000000002
957,5.0,data5,Behavioural risk factors,E07000031,South Lakeland,110.9768,110.0846,115.0214,111.2865,110.4938,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.4830000000000041,-0.7927000000000106
971,5.0,data5,Behavioural risk factors,E07000032,Amber Valley,101.1961,101.8298,101.4756,106.2796,106.7214,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.525300000000001,0.44180000000000064
985,5.0,data5,Behavioural risk factors,E07000033,Bolsover,91.77288,93.00679,95.46207,97.99855,95.40802,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,3.6351399999999927,-2.590530000000001
999,5.0,data5,Behavioural risk factors,E07000034,Chesterfield,103.1539,102.8304,99.94478,96.29071,103.5334,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.3795000000000073,7.242689999999996
1013,5.0,data5,Behavioural risk factors,E07000035,the Derbyshire Dales,111.6845,113.1263,114.8712,116.7079,116.8969,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.212400000000002,0.18900000000000716
1027,5.0,data5,Behavioural risk factors,E07000036,Erewash,103.9623,107.8698,101.7356,101.3673,94.72194,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-9.240359999999995,-6.645359999999997
1041,5.0,data5,Behavioural risk factors,E07000037,High Peak,104.2279,108.7577,106.1865,106.9824,108.0742,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,3.8462999999999994,1.0918000000000063
1055,5.0,data5,Behavioural risk factors,E07000038,North East Derbyshire,105.9815,106.5777,103.954,108.0192,110.1195,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,4.138000000000005,2.1003000000000043
1069,5.0,data5,Behavioural risk factors,E07000039,South Derbyshire,107.9682,105.5491,103.6439,99.72766,103.2942,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-4.673999999999992,3.5665400000000034
1083,5.0,data5,Behavioural risk factors,E07000040,East Devon,114.7981,116.4745,120.4122,115.529,118.4472,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.64909999999999,2.918199999999999
1097,5.0,data5,Behavioural risk factors,E07000041,Exeter,109.3714,110.5439,115.4365,112.1534,109.3833,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.011900000000011346,-2.7700999999999993
1111,5.0,data5,Behavioural risk factors,E07000042,Mid Devon,109.4936,107.789,106.2801,111.5975,112.0966,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,2.6029999999999944,0.49909999999999854
1125,5.0,data5,Behavioural risk factors,E07000043,North Devon,108.174,109.6173,109.3566,107.1274,106.7334,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.4406000000000034,-0.39399999999999125
1139,5.0,data5,Behavioural risk factors,E07000044,South Hams,114.3851,113.8385,112.3144,112.6438,112.6453,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.7397999999999882,0.0015000000000071623
1153,5.0,data5,Behavioural risk factors,E07000045,Teignbridge,109.0953,111.9291,110.4604,107.9307,111.8508,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,2.755500000000012,3.920100000000005
1167,5.0,data5,Behavioural risk factors,E07000046,Torridge,102.8415,103.0335,109.7249,113.3859,106.0056,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.164100000000005,-7.380300000000005
1181,5.0,data5,Behavioural risk factors,E07000047,West Devon,115.4553,112.6574,115.4099,111.0878,112.7883,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-2.6669999999999874,1.7005000000000052
1195,5.0,data5,Behavioural risk factors,E07000061,Eastbourne,95.52314,95.16656,99.37716,101.1632,101.2248,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,5.701660000000004,0.061599999999998545
1209,5.0,data5,Behavioural risk factors,E07000062,Hastings,103.1179,100.9428,95.61879,97.42322,99.25488,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-3.863020000000006,1.8316599999999994
1223,5.0,data5,Behavioural risk factors,E07000063,Lewes,109.9834,111.3746,110.077,109.5094,111.5284,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.5450000000000017,2.0190000000000055
1237,5.0,data5,Behavioural risk factors,E07000064,Rother,105.7562,107.0285,102.5889,104.7966,105.0543,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.7019000000000091,0.2576999999999998
1251,5.0,data5,Behavioural risk factors,E07000065,Wealden,114.9639,116.4768,113.8231,112.9168,110.4505,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-4.51339999999999,-2.4662999999999897
1265,5.0,data5,Behavioural risk factors,E07000066,Basildon,99.59182,97.91004,94.28216,95.1075,91.66365,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-7.928169999999994,-3.4438499999999976
1279,5.0,data5,Behavioural risk factors,E07000067,Braintree,95.16643,97.14235,107.3543,105.7594,99.08384,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,3.9174099999999896,-6.675560000000004
1293,5.0,data5,Behavioural risk factors,E07000068,Brentwood,111.3233,110.1458,111.7446,111.1306,111.7708,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.4474999999999909,0.640199999999993
1307,5.0,data5,Behavioural risk factors,E07000069,Castle Point,104.851,102.2845,99.25546,99.34579,99.5406,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.310400000000001,0.19481000000000392
1321,5.0,data5,Behavioural risk factors,E07000070,Chelmsford,104.9329,103.3457,102.8074,104.4997,108.7904,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,3.8575000000000017,4.290700000000001
