,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
2439,3.0,data3,Personal well-being,E07000167,Ryedale,111.8828,113.7638,105.8821,105.2205,117.2788,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,5.396000000000001,12.058300000000003
2453,3.0,data3,Personal well-being,E07000168,Scarborough,98.02852,101.723,102.8451,112.8166,104.5149,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,6.486379999999997,-8.301699999999997
2467,3.0,data3,Personal well-being,E07000169,Selby,99.12489,107.7864,95.2248,116.3212,92.82599,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-6.298899999999989,-23.49521
2481,3.0,data3,Personal well-being,E07000170,Ashfield,106.0573,100.4804,101.2569,111.6684,92.0942,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-13.963099999999997,-19.574200000000005
2495,3.0,data3,Personal well-being,E07000171,Bassetlaw,105.8589,101.4985,112.9248,113.9013,110.0225,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,4.163599999999988,-3.8788000000000125
2509,3.0,data3,Personal well-being,E07000172,Broxtowe,124.8056,106.7443,79.37771,106.9128,112.7219,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-12.083699999999993,5.809100000000001
2523,3.0,data3,Personal well-being,E07000173,Gedling,111.4161,101.9071,101.1918,107.6856,103.7331,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-7.683000000000007,-3.9525000000000006
2537,3.0,data3,Personal well-being,E07000174,Mansfield,98.36885,108.0533,105.399,90.71218,105.7261,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,7.357250000000008,15.013919999999999
2551,3.0,data3,Personal well-being,E07000175,Newark and Sherwood,122.3335,117.0627,118.8145,112.7739,95.61836,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-26.715140000000005,-17.155540000000002
2565,3.0,data3,Personal well-being,E07000176,Rushcliffe,108.8851,107.4283,114.7759,93.09999,106.3924,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-2.4926999999999992,13.29240999999999
2579,3.0,data3,Personal well-being,E07000177,Cherwell,106.1783,98.83171,103.781,116.1079,99.24107,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-6.93723,-16.866830000000007
2593,3.0,data3,Personal well-being,E07000178,Oxford,103.7727,91.85528,104.9015,99.38693,90.12098,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-13.651719999999997,-9.265950000000004
2607,3.0,data3,Personal well-being,E07000179,South Oxfordshire,103.8704,113.7922,113.9602,111.7602,111.2243,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,7.353899999999996,-0.535899999999998
2621,3.0,data3,Personal well-being,E07000180,Vale of White Horse,107.6813,100.9898,107.358,95.8343,113.3442,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,5.662900000000008,17.509900000000002
2635,3.0,data3,Personal well-being,E07000181,West Oxfordshire,114.2273,108.8954,104.9467,101.7495,98.94797,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-15.279330000000002,-2.8015299999999996
2649,3.0,data3,Personal well-being,E07000187,Mendip,102.7973,95.98291,108.0613,109.8654,108.825,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,6.027699999999996,-1.040399999999991
2663,3.0,data3,Personal well-being,E07000188,Sedgemoor,111.0789,102.3964,114.8177,103.8626,106.1456,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-4.933300000000003,2.2830000000000013
2677,3.0,data3,Personal well-being,E07000189,South Somerset,113.408,112.7006,106.8546,111.65,101.7471,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-11.660899999999998,-9.902900000000002
2691,3.0,data3,Personal well-being,E07000192,Cannock Chase,98.63301,101.2743,106.4566,104.163,113.1592,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,14.52619,8.996200000000002
2705,3.0,data3,Personal well-being,E07000193,East Staffordshire,112.5437,104.8304,107.6709,105.6154,106.611,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-5.932699999999997,0.9956000000000103
2719,3.0,data3,Personal well-being,E07000194,Lichfield,118.431,115.3027,125.4447,113.176,110.9797,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-7.451300000000003,-2.196300000000008
2733,3.0,data3,Personal well-being,E07000195,Newcastle-under-Lyme,95.24453,107.8562,99.17792,116.5396,110.4102,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,15.165670000000006,-6.12939999999999
